ticker,DaysPriorPerformance,DaysPriorSpyPerformance,DaysPriorAvgVolume,DayOfPerformance,DayOfVolume,DayOfMarketPerformance,ClosePositionRatio,DaysAfterPerformance,DaysAfterSpyPerformance,DaysAfterAvgVolume
SYKE,2.873563218390805,0.7079646017699048,84233.33333333333,-1.6759776536312692,263300.0,-0.5858230814294083,0.824000000000001,-3.409090909090917,-2.47495580436063,136455.55555555556
ZINC,1.6666666666666607,1.0644589000591433,263311.1111111111,-7.377049180327858,505500.0,-0.11702750146285375,0.1538461538461549,5.309734513274333,-3.5149384885764503,378666.6666666667
SSP,-5.142857142857134,1.0644589000591433,379400.0,-10.843373493975907,2518500.0,-0.11702750146285375,0.24324324324324278,-1.3513513513513586,-3.5149384885764503,586833.3333333334
USU,52.10084033613446,0.7079646017699048,2324100.0,-2.7624309392265194,969300.0,-0.5858230814294083,0.8393442622950813,-5.681818181818182,-2.47495580436063,633133.3333333334
WSR,-5.421686746987964,0.7079646017699048,68333.33333333333,1.2738853503184782,44000.0,-0.5858230814294083,0.8775510204081659,-9.433962264150942,-2.47495580436063,68244.44444444444
RPAI,-6.081081081081083,0.7079646017699048,542955.5555555555,0.0,1275400.0,-0.5858230814294083,0.9938271604938272,-2.158273381294969,-2.47495580436063,703666.6666666666
SYRG,2.85714285714286,5.159235668789805,498188.8888888889,0.0,831600.0,0.0,0.7692307692307694,5.555555555555548,2.0593579648697795,446266.6666666667
CUTR,4.1666666666666705,0.7079646017699048,98144.44444444444,-9.000000000000004,804100.0,-0.5858230814294083,0.13513513513513462,4.3956043956043995,-2.47495580436063,135088.88888888888
VNO,-5.902383654937558,0.7079646017699048,828933.3333333334,0.4825090470446217,1279800.0,-0.5858230814294083,0.7888198757763953,-2.641056422569031,-2.47495580436063,1190288.888888889
MTSC,-2.329192546583862,0.7079646017699048,49711.11111111111,-2.5437201907790166,86500.0,-0.5858230814294083,0.9841269841269845,-1.4681892332789537,-2.47495580436063,62277.77777777778
KOS,-1.8518518518518614,1.0644589000591433,426644.44444444444,-0.943396226415091,1045400.0,-0.11702750146285375,0.47368421052631404,-5.714285714285711,-3.5149384885764503,747700.0
ARCI,0.0,0.7079646017699048,36100.0,0.0,129900.0,-0.5858230814294083,0.0,11.538461538461531,-2.47495580436063,55277.77777777778
CRIS,8.108108108108103,1.0644589000591433,330944.44444444444,5.000000000000004,449900.0,-0.11702750146285375,0.8333333333333334,-7.1428571428571495,-3.5149384885764503,374555.55555555556
SGY,1.984126984126984,0.7079646017699048,384033.3333333333,8.17120622568094,1969700.0,-0.5858230814294083,0.5314009661835755,3.956834532374093,-2.47495580436063,503800.0
TXI,0.30911901081916976,4.164037854889586,256944.44444444444,-2.7734976887519323,962100.0,1.3930950938825024,0.29197080291970795,-0.7923930269413629,0.8960573476702508,278833.3333333333
CLDT,-6.91489361702128,0.7079646017699048,89422.22222222222,0.5714285714285796,58800.0,-0.5858230814294083,0.5750000000000031,1.1363636363636322,-2.47495580436063,78344.44444444444
CYD,0.5988023952095893,1.0644589000591433,40711.11111111111,10.714285714285717,234800.0,-0.11702750146285375,0.9411764705882345,3.2258064516128915,-3.5149384885764503,99277.77777777778
BSFT,-1.3029315960912007,0.7079646017699048,383844.44444444444,0.6600660066006577,1594900.0,-0.5858230814294083,0.34798534798534814,4.918032786885246,-2.47495580436063,449188.8888888889
HIL,14.814814814814811,0.7079646017699048,56011.11111111111,-3.2258064516129057,189400.0,-0.5858230814294083,0.5263157894736848,-3.333333333333336,-2.47495580436063,115022.22222222222
VOLC,4.5685279187817365,0.7079646017699048,562588.8888888889,7.281553398058252,2585500.0,-0.5858230814294083,0.5677966101694901,-1.8099547511312313,-2.47495580436063,559511.1111111111
HOLX,1.3574660633484033,0.7079646017699048,3752744.4444444445,0.44642857142857784,7263500.0,-0.5858230814294083,0.5229357798165108,2.2222222222222223,-2.47495580436063,1910888.888888889
HPP,-4.464285714285714,0.7079646017699048,195366.66666666666,-1.4018691588784915,83900.0,-0.5858230814294083,0.5476190476190426,-4.265402843601906,-2.47495580436063,188655.55555555556
Y,0.34113060428850733,0.7079646017699048,53577.77777777778,-1.5784361340456532,64200.0,-0.5858230814294083,0.21543408360129035,-2.171231186775231,-2.47495580436063,36422.22222222222
ATNY,8.000000000000007,4.164037854889586,89688.88888888889,3.7037037037036904,167000.0,1.3930950938825024,0.6363636363636356,7.1428571428571495,0.8960573476702508,215244.44444444444
NWPX,-5.610561056105609,0.7079646017699048,21288.88888888889,-2.7972027972027997,44700.0,-0.5858230814294083,0.06666666666666374,3.956834532374093,-2.47495580436063,27688.88888888889
OTTR,-1.5974440894568689,0.7079646017699048,68844.44444444444,-6.168831168831176,120100.0,-0.5858230814294083,0.0760869565217382,-3.4602076124567476,-2.47495580436063,82011.11111111111
VCRA,-0.6993006993007091,0.7079646017699048,208366.66666666666,17.605633802816904,1914200.0,-0.5858230814294083,0.705882352941176,-0.5988023952095681,-2.47495580436063,191255.55555555556
EBS,1.1235955056179736,0.7079646017699048,147355.55555555556,0.5555555555555635,232000.0,-0.5858230814294083,0.980582524271845,-2.7624309392265194,-2.47495580436063,112400.0
CNDO,3.797468354430366,1.0644589000591433,322911.1111111111,21.951219512195134,1706500.0,-0.11702750146285375,0.9377990430622006,-25.999999999999996,-3.5149384885764503,598288.8888888889
PSMT,5.184331797235023,4.164037854889586,111411.11111111111,-1.3143483023001126,421500.0,1.3930950938825024,0.977055449330783,-1.3318534961154147,0.8960573476702508,74266.66666666667
PNG,-4.072398190045258,0.7079646017699048,61400.0,-0.4716981132075371,53500.0,-0.5858230814294083,0.24675324675324856,-1.895734597156408,-2.47495580436063,44833.333333333336
